Start Date	End Date	Vested Balance	Beginning Balance	Employer Contributions	Ending Balance	Exchange In	Exchange Out	Fees	Investment Gain/Loss	Your Contributions	Your Personal Rate of Return This Period	Your Rollover Contributions
01/01/2013	01/31/2013		0.00		0.00						0.0	
02/01/2013	02/28/2013		0.00		0.00						0.0	
03/01/2013	03/31/2013		0.00		0.00						0.0	
04/01/2013	04/30/2013		0.00		0.00						0.0	
05/01/2013	05/31/2013		0.00		0.00						0.0	
06/01/2013	06/30/2013		0.00		0.00						0.0	
07/01/2013	07/31/2013		0.00		0.00						0.0	
08/01/2013	08/31/2013	716.22	0.00	427.83	716.22				-3.31	291.70	-1.7	
09/01/2013	09/30/2013	16,332.34	716.22	466.72	16,332.34				30.13	875.10	3.8	14,244.17
10/01/2013	10/31/2013	18,234.42	16,332.34	466.72	18,234.42				560.26	875.10	3.3	
11/01/2013	11/30/2013	19,933.48	18,234.42	466.72	19,933.48				357.24	875.10	1.9	
12/01/2013	12/31/2013	21,760.97	19,933.48	466.72	21,760.97				485.67	875.10	2.3	
01/01/2014	01/31/2014	22,371.02	21,760.97	466.72	22,371.02				-731.77	875.10	-3.3	
02/01/2014	02/28/2014	24,979.30	22,371.02	648.60	24,979.30				1,084.58	875.10	4.8	
03/01/2014	03/31/2014	26,389.26	24,979.30	466.72	26,389.26				68.14	875.10	0.2	
04/01/2014	04/30/2014	27,875.26	26,389.26	466.72	27,875.26	52,998.57	-52,998.57		144.18	875.10	0.5	
05/01/2014	05/31/2014	29,778.60	27,875.26	466.72	29,778.60				561.52	875.10	2.0	
06/01/2014	06/30/2014	31,758.93	29,778.60	466.72	31,758.93				638.51	875.10	2.1	
07/01/2014	07/31/2014	32,505.82	31,758.93	466.72	32,505.82				-594.93	875.10	-1.8	
08/01/2014	08/31/2014	34,820.44	32,505.82	466.72	34,820.44				972.80	875.10	3.0	
09/01/2014	09/30/2014	34,967.91	34,820.44	466.72	34,967.91				-1,194.35	875.10	-3.4	
10/01/2014	10/31/2014	36,829.92	34,967.91	466.72	36,829.92				520.19	875.10	1.4	
11/01/2014	11/30/2014	38,736.52	36,829.92	466.72	38,736.52				564.78	875.10	1.5	
12/01/2014	12/31/2014	39,653.65	38,736.52	466.72	39,653.65				-424.69	875.10	-1.1	
01/01/2015	01/31/2015	40,738.45	39,653.65	466.72	40,738.45				-257.02	875.10	-0.7	
02/01/2015	02/28/2015	44,163.49	40,738.45	728.88	44,163.49				1,821.06	875.10	4.5	
03/01/2015	03/31/2015	45,200.66	44,163.49	499.44	45,200.66				-398.73	936.46	-0.9	
04/01/2015	04/30/2015	47,425.96	45,200.66	499.44	47,425.96				789.40	936.46	1.8	
05/01/2015	05/31/2015	48,865.89	47,425.96	499.44	48,865.89				4.03	936.46	0.0	
06/01/2015	06/30/2015	49,308.56	48,865.89	499.44	49,308.56				-993.23	936.46	-2.0	
07/01/2015	07/31/2015	51,016.06	49,308.56	499.44	51,016.06				271.60	936.46	0.6	
08/01/2015	08/31/2015	49,515.73	51,016.06	499.44	49,515.73				-2,936.23	936.46	-5.7	
09/01/2015	09/30/2015	49,412.77	49,515.73	499.44	49,412.77				-1,538.86	936.46	-3.1	
10/01/2015	10/31/2015	53,994.60	49,412.77	499.44	53,994.60				3,145.93	936.46	6.4	
11/01/2015	11/30/2015	55,151.21	53,994.60	499.44	55,151.21				-279.29	936.46	-0.5	
12/01/2015	12/31/2015	55,442.71	55,151.21	499.44	55,442.71				-1,144.40	936.46	-2.1	
01/01/2016	01/31/2016	54,305.69	55,442.71	499.44	54,305.69				-2,572.92	936.46	-4.7	
02/01/2016	02/29/2016	56,030.30	54,305.69	902.64	56,030.30				-114.49	936.46	-0.3	
03/01/2016	03/31/2016	61,275.79	56,030.30	529.40	61,275.79				3,723.45	992.64	6.6	
04/01/2016	04/30/2016	63,762.29	61,275.79	529.40	63,762.29				964.46	992.64	1.6	
05/01/2016	05/31/2016	65,601.78	63,762.29	529.40	65,601.78				317.45	992.64	0.5	
06/01/2016	06/30/2016	67,443.06	65,601.78	529.40	67,443.06				319.24	992.64	0.5	
07/01/2016	07/31/2016	71,525.01	67,443.06	529.40	71,525.01				2,559.91	992.64	3.8	
08/01/2016	08/31/2016	73,203.92	71,525.01	529.40	73,203.92				156.87	992.64	0.2	
09/01/2016	09/30/2016	75,179.79	73,203.92	529.40	75,179.79				453.83	992.64	0.6	
10/01/2016	10/31/2016	75,030.13	75,179.79	529.40	75,030.13				-1,671.70	992.64	-2.2	
11/01/2016	11/30/2016	77,383.07	75,030.13	529.40	77,383.07				830.90	992.64	1.1	
12/01/2016	12/31/2016	80,352.07	77,383.07	529.40	80,352.07				1,446.96	992.64	1.9	
01/01/2017	01/31/2017	83,727.19	80,352.07	529.40	83,727.19				1,853.08	992.64	2.3	
02/01/2017	02/28/2017	88,059.12	83,727.19	1,169.77	88,059.12				2,169.52	992.64	2.6	
03/01/2017	03/31/2017	90,419.86	88,059.12	582.36	90,419.86				686.48	1,091.90	0.8	
04/01/2017	04/30/2017	93,448.21	90,419.86	582.36	93,448.21				1,354.09	1,091.90	1.5	
05/01/2017	05/31/2017	96,677.65	93,448.21	582.36	96,677.65				1,555.18	1,091.90	1.7	
06/01/2017	06/30/2017	99,065.71	96,677.65	582.36	99,065.71				713.80	1,091.90	0.7	
07/01/2017	07/31/2017	103,038.42	99,065.71	617.28	103,038.42				2,198.03	1,157.40	2.2	
08/01/2017	08/31/2017	105,454.47	103,038.42	617.28	105,454.47				641.37	1,157.40	0.6	
09/01/2017	09/30/2017	109,182.23	105,454.47	617.28	109,182.23				1,953.08	1,157.40	1.8	
10/01/2017	10/31/2017	112,921.70	109,182.23	617.28	112,921.70				1,964.79	1,157.40	1.8	
11/01/2017	11/30/2017	116,992.71	112,921.70	617.28	116,992.71				2,296.33	1,157.40	2.0	
12/01/2017	12/31/2017	120,480.91	116,992.71	617.28	120,480.91	118,233.87	-118,233.87		1,713.52	1,157.40	1.5	
01/01/2018	01/31/2018	127,362.31	120,480.91	617.28	127,362.31				5,106.72	1,157.40	4.2	
02/01/2018	02/28/2018	124,476.78	127,362.31	1,146.91	124,476.78				-5,189.84	1,157.40	-4.1	
03/01/2018	03/31/2018	125,234.17	124,476.78	617.28	125,234.17				-1,017.29	1,157.40	-0.8	
04/01/2018	04/30/2018	127,467.89	125,234.17	617.28	127,467.89				459.04	1,157.40	0.4	
05/01/2018	05/31/2018	130,873.73	127,467.89	617.28	130,873.73				1,631.16	1,157.40	1.3	
06/01/2018	06/30/2018	132,041.33	130,873.73	617.28	132,041.33				-607.08	1,157.40	-0.5	
07/01/2018	07/31/2018	136,615.13	132,041.33	617.28	136,615.13				2,799.12	1,157.40	2.1	
08/01/2018	08/31/2018	140,220.30	136,615.13	617.28	140,220.30				1,830.49	1,157.40	1.3	
09/01/2018	09/30/2018	141,679.14	140,220.30	617.28	141,679.14				-315.84	1,157.40	-0.2	
10/01/2018	10/31/2018	133,069.95	141,679.14	617.28	133,069.95				-10,383.87	1,157.40	-7.3	
11/01/2018	11/30/2018	136,809.73	133,069.95	617.28	136,809.73				1,965.10	1,157.40	1.5	
12/01/2018	12/31/2018	130,167.96	136,809.73	617.28	130,167.96				-8,416.45	1,157.40	-6.1	
01/01/2019	01/31/2019	141,848.76	130,167.96	617.28	141,848.76				9,906.12	1,157.40	7.6	
02/01/2019	02/28/2019	147,826.39	141,848.76	1,166.17	147,826.39				3,654.06	1,157.40	2.6	
03/01/2019	03/31/2019	151,355.92	147,826.39	617.28	151,355.92				1,754.85	1,157.40	1.2	
04/01/2019	04/30/2019	157,426.30	151,355.92	641.96	157,426.30				4,224.72	1,203.70	2.8	
05/01/2019	05/31/2019	151,750.19	157,426.30	641.96	151,750.19				-7,521.77	1,203.70	-4.8	
06/01/2019	06/30/2019	162,483.63	151,750.19	641.96	162,483.63	157,805.17	-157,805.17		8,887.78	1,203.70	5.8	
07/01/2019	07/31/2019	164,728.12	162,483.63	641.96	164,728.12				398.83	1,203.70	0.3	
08/01/2019	08/31/2019	164,550.62	164,728.12	641.96	164,550.62			0.28	-2,023.44	1,203.70	-1.2	
09/01/2019	09/30/2019	167,435.79	164,550.62	160.50	167,435.79				2,423.74	300.93	1.5	
10/01/2019	10/31/2019	171,281.08	167,435.79		171,281.08				3,845.29		2.3	
11/01/2019	11/30/2019	175,169.59	171,281.08		175,169.59				3,888.51		2.3	
12/01/2019	12/27/2019	180,728.68	175,169.59		180,728.68				5,559.09		3.2	
